[Worker:RC_2025-09.zst] Starting scan
[Worker:RC_2025-12.zst] Starting scan
[Worker:RC_2025-09.zst] comments=16,900,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=17,100,000 active_words=6,423 remaining=3
[Worker:RC_2025-09.zst] comments=17,000,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=17,200,000 active_words=6,423 remaining=3
[Worker:RC_2025-09.zst] comments=17,100,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=17,300,000 active_words=6,423 remaining=3
[Worker:RC_2025-09.zst] comments=17,200,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=17,400,000 active_words=6,423 remaining=3
[Worker:RC_2025-09.zst] comments=17,300,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=17,500,000 active_words=6,423 remaining=3
